id,average_polarity,sentiment_class
PG0140,0.04733513513513514,mixed positive
PG0141,-0.050944444444444445,mixed negative
PG0142,0.05480272108843538,mixed positive
PG0143,0.0633968253968254,mixed positive
PG0144,-0.03243357142857143,mixed negative
PG0145,-0.026111666666666665,mixed negative
PG0146,0.032407224334600755,mixed positive
PG0147,-0.04297435897435898,mixed negative
PG0148,0.10702790697674418,mixed positive
PG0149,0.07327435897435897,mixed positive
PG0150,-0.0036593023255813944,mixed negative
PG0151,0.13311578947368422,mixed positive
PG0152,0.020023924731182797,mixed positive
PG0153,0.07043239436619718,mixed positive
PG0154,0.03418541666666667,mixed positive
PG0155,0.07080352941176471,mixed positive
PG0156,-0.005783422459893048,mixed negative
PG0157,-0.014462857142857138,mixed negative
PG0158,0.016050331125827818,mixed positive
PG0159,0.03438142857142858,mixed positive
